12.71737    0.50536
12.73187    0.54677
12.76061    0.60000
12.83190    0.67098
12.87470    0.71534
12.94592    0.77745
13.01706    0.83068
13.05980    0.86913
13.10257    0.91054
13.15953    0.95786
13.23062    1.00518
13.30186    1.07024
13.38732    1.14418
13.44428    1.19150
13.50131    1.24769
13.55832    1.30092
13.60114    1.34824
13.65801    1.38669
13.70084    1.43401
#13.74360    1.47542
#13.78653    1.53457
#13.84362    1.59667
#13.88649    1.64991
#13.94352    1.70610
#13.98637    1.75638
#14.02929    1.81553
#14.05806    1.87172
#14.10101    1.93383
#14.12964    1.97523
#14.14407    2.00776
#14.03091    1.99889
#13.86125    1.99298
#13.71988    1.99002
#13.59265    1.98706
#13.45130    1.98706
#13.38063    1.98706
#13.22516    1.98706
#13.12624    1.99002
#12.94252    1.99298
#12.84361    1.99593
#12.70229    1.99889
#12.51860    2.00481
#12.12297    2.01959
#11.85450    2.02847
#11.67083    2.03734
#11.44476    2.04621
#11.28931    2.04917
#11.13388    2.05508
#10.87949    2.05804
