# Radius Mass
5.0862 0.9827
5.9483 0.9698
6.3362 0.9179
6.3362 0.8229
6.3793 0.7322
6.3793 0.6242
6.7026 0.4989
8.3405 0.5032
8.2974 0.6048
8.1250 0.7819
7.8017 0.9762
7.4138 1.1058
6.8966 1.1685
6.0345 1.1836
5.0862 1.1836
5.0862 1.3996
6.0776 1.4752
7.1121 1.5335
8.1034 1.5961
8.5776 1.6091
8.9871 1.5529
9.4828 1.4363
10.0647 1.3283
10.7112 1.1987
10.8836 1.0000
11.0129 0.8186
10.9052 0.6285
10.6034 0.5054
14.3319 0.5054
15.0647 0.6371
15.4957 0.8078
15.5172 0.9806
15.9052 1.1857
15.9914 1.4320
16.1207 1.6177
15.6034 1.8251
15.0431 2.0216
14.3966 2.2419
13.3190 2.2959
11.9181 2.3283
10.2155 2.3132
8.6638 2.2873
7.6293 2.2225
10.9267 3.0000
20.9914 3.0000
21.1207 2.7495
21.5948 2.5205
21.7241 2.2873
21.8966 2.1058
22.0690 1.8423
22.2845 1.6004
21.8966 1.3499
21.3793 1.0994
20.5172 0.8013
19.8276 0.6069
19.5259 0.5032
25.1293 0.4989
26.0345 0.7451
26.9828 1.0130
27.9310 1.2981
28.5776 1.5616
29.0086 1.8855
28.8793 2.1490
28.8793 2.4514
28.7931 2.7106
28.6207 2.9957
