# Mass Radius Likelihood 
1.168185846939755468e+00 1.138211580317211968e+01 6.562591522815897385e-96
1.186335440159510535e+00 1.093729662229309696e+01 7.621474412814362340e-96
1.229448946463152170e+00 1.278677727586674706e+01 8.441492949714048412e-96
1.848889312080207015e+00 1.316292367168312794e+01 8.553380504956978285e-96
1.181970783625926558e+00 1.200482570582322772e+01 8.560634746570421924e-96
1.365865613117988264e+00 1.438052039873230825e+01 8.713230356479558999e-96
1.429997161356632018e+00 1.381618478315487764e+01 8.775573935833306852e-96
1.306117869788959718e+00 1.322342976264815562e+01 9.090981031826948525e-96
1.165801347236361529e+00 8.219752244926525009e+00 9.217128455168200865e-96
1.798482552242845589e+00 1.423616066464972008e+01 9.366059602725294280e-96
1.329316570703579448e+00 1.302295302516573017e+01 9.937193655040893629e-96
1.430363008541699621e+00 1.405095054674451660e+01 1.017743778796156159e-95
1.585361528758218341e+00 1.240019000309883879e+01 1.170063070453976546e-95
1.388159329889104399e+00 9.674859576834535346e+00 1.275658842393050852e-95
1.042354380146683690e+00 1.089286930767918093e+01 1.336557768452476018e-95
1.065693541600163385e+00 8.000341601137231251e+00 1.348715947232839863e-95
1.392320868261568201e+00 1.305326344023303875e+01 1.350540751975792811e-95
1.871816893977578555e+00 1.534099322962215695e+01 1.419920085183545267e-95
1.028746561971318529e+00 1.196317648555269919e+01 1.542789049719724345e-95
1.369633124424324055e+00 1.252556963272058965e+01 1.620459876060648957e-95
1.308459962339236560e+00 9.990506526531323317e+00 1.686055580651504533e-95
1.013542373146152142e+00 9.751868833168670037e+00 1.937473633443792847e-95
1.049885916824873977e+00 1.123381132130291604e+01 2.040635480091501643e-95
1.249209418009338268e+00 1.150461263090458175e+01 2.039682639907101338e-95
1.419458676797539898e+00 1.281329491481690042e+01 2.045392114464850745e-95
1.056665555982266858e+00 9.121480451935834566e+00 2.220302134721717423e-95
1.306347980836265243e+00 9.957474856533188756e+00 2.973356678269448245e-95
