# Radius Mass
7.9962 1.5403
8.3874 1.5149
8.7595 1.4767
9.0840 1.4279
9.4847 1.3557
9.8282 1.2666
10.0477 1.1924
10.2958 1.0905
10.4676 0.9802
10.5725 0.8678
10.5916 0.8083
10.5725 0.7129
10.5344 0.6365
10.4771 0.5686
10.4008 0.5028
12.4427 0.5028
12.5763 0.5856
12.6908 0.6832
12.7672 0.7723
12.8053 0.8529
12.8053 0.9696
12.7863 1.0566
12.7004 1.1711
12.5954 1.2857
12.4618 1.4003
12.2805 1.5085
11.8989 1.6252
11.5267 1.7058
11.2118 1.7567
10.7538 1.8161
10.1336 1.8692
9.6279 1.8925
9.2271 1.8989
8.8359 1.8989
8.4351 1.8904
