11.34	2.459
11.53	2.452
11.69	2.431
11.81	2.407
11.92	2.383
12.03	2.342
12.11	2.308
12.19	2.263
12.26	2.211
12.34	2.142
12.38	2.081
12.42	2.026
12.44	1.967
12.46	1.902
12.47	1.843
12.49	1.785
12.49	1.719
12.49	1.657
12.48	1.606
12.47	1.558
12.46	1.513
12.45	1.465
12.44	1.406
12.42	1.355
12.40	1.300
12.38	1.252
12.36	1.197
12.32	1.128
12.29	1.066
12.27	1.004
12.25	0.9597
12.22	0.8909
12.20	0.8393
12.18	0.7808
12.16	0.7223
12.14	0.6707
12.17	0.6157
12.18	0.5744
12.23	0.5125
12.31	0.4609
12.41	0.4127
12.58	0.3783
