13.33	2.765
13.50	2.758
13.65	2.755
13.79	2.738
14.00	2.689
14.11	2.648
14.24	2.590
14.34	2.528
14.40	2.490
14.44	2.445
14.48	2.404
14.52	2.356
14.54	2.314
14.56	2.280
14.59	2.228
14.60	2.187
14.62	2.136
14.63	2.091
14.63	2.036
14.64	1.974
14.64	1.902
14.64	1.847
14.63	1.795
14.63	1.740
14.62	1.688
14.61	1.644
14.60	1.599
14.58	1.561
14.57	1.516
14.55	1.482
14.54	1.444
14.52	1.400
14.49	1.341
14.47	1.289
14.45	1.248
14.43	1.203
14.40	1.169
14.38	1.131
14.35	1.083
14.33	1.038
14.30	0.9906
14.28	0.9493
14.26	0.8977
14.25	0.8633
14.23	0.8289
14.19	0.7498
14.18	0.7085
14.17	0.6535
14.17	0.6157
14.19	0.5813
14.22	0.5503
14.25	0.5159
14.29	0.4884
14.33	0.4540
